round,event,action,alive,winprob,equip,swings
21,5,Bomb site secured,2v5,0.0/100.0,,Jame -1.89%;zweih -1.89%;Moseyuh +0.42%;Zero +1.20%;JamYoung +1.65%;Jee +0.25%;Mercury +0.25%
22,1,Round started,5v5,50.0/50.0,PARIVISION=$25.75K (FULL);TYL=$28.85K (FULL),
22,2,JamYoung killed FL1T,4v5,33.0/67.0,,JamYoung +13.24%;FL1T -16.97%;Moseyuh +1.10%;Mercury +2.63%
22,3,xiELO killed Moseyuh,4v4,53.1/46.9,,xiELO +20.14%;Moseyuh -20.14%
22,4,Jee killed slaxejezzz,3v4,35.1/64.9,,Jee +17.77%;slaxejezzz -17.99%;Zero +0.23%
22,5,xiELO killed Jee,3v3,55.6/44.4,,xiELO +20.44%;Jee -20.44%
22,6,Jame killed Mercury,3v2,83.5/16.5,,Jame +27.88%;Mercury -27.88%
22,7,Zero killed xiELO,2v2,60.2/39.8,,Zero +13.90%;xiELO -23.22%;Jee +9.32%
22,8,zweih killed Zero,2v1,82.8/17.2,,zweih +9.00%;xiELO +13.57%;Zero -22.57%
22,9,Jame killed JamYoung,2v0,100.0/0.0,,Jame +14.89%;slaxejezzz +2.30%;JamYoung -17.19%
22,10,zweih planted the bomb,2v0,100.0/0.0,,zweih +0.00%
23,1,Round started,5v5,50.0/50.0,PARIVISION=$21.65K (FULL);TYL=$30.55K (FULL),
23,2,Mercury killed FL1T,4v5,33.0/67.0,,Mercury +16.97%;FL1T -16.97%
23,3,JamYoung killed xiELO,3v5,15.6/84.4,,JamYoung +17.39%;xiELO -17.39%
23,4,Moseyuh killed slaxejezzz,2v5,3.8/96.2,,Moseyuh +6.03%;slaxejezzz -11.83%;JamYoung +5.79%
23,5,zweih killed Moseyuh,2v4,8.1/91.9,,zweih +2.64%;slaxejezzz +1.68%;Moseyuh -2.94%;JamYoung -1.37%
23,6,zweih killed JamYoung,2v3,22.9/77.1,,zweih +8.15%;xiELO +6.69%;JamYoung -14.84%
23,7,zweih planted the bomb,2v3,38.5/61.5,,zweih +8.76%;slaxejezzz +1.36%;xiELO +5.43%;Moseyuh -2.39%;JamYoung -13.16%
23,8,Mercury killed zweih,1v3,14.6/85.4,,Mercury +9.20%;zweih -23.89%;Moseyuh +7.65%;JamYoung +7.04%
23,9,Jame killed Jee,1v2,19.4/80.6,,Jame +4.79%;Jee -4.79%
23,10,Zero killed Jame,0v2,4.2/95.8,,Zero +7.71%;Jame -15.18%;JamYoung +1.54%;Jee +5.92%
23,11,Zero defused the bomb,0v2,0.0/100.0,,Zero +1.77%;Jame -2.10%;zweih -2.10%;Moseyuh +0.34%;JamYoung +0.78%;Jee +0.15%;Mercury +1.17%
24,1,Round started,5v5,50.0/50.0,PARIVISION=$16.5K (FULL);TYL=$30.25K (FULL),
24,2,FL1T killed Moseyuh,5v4,72.2/27.8,,FL1T +22.19%;Moseyuh -15.13%;Mercury -7.06%
24,3,FL1T killed Mercury,5v3,90.8/9.2,,FL1T +15.78%;Jame +2.87%;Mercury -18.65%
24,4,Jame killed Jee,5v2,98.0/2.0,,Jame +3.14%;slaxejezzz +4.10%;Jee -7.24%
24,5,JamYoung killed FL1T,4v2,95.4/4.6,,JamYoung +1.47%;FL1T -2.63%;Moseyuh +0.35%;Mercury +0.81%
24,6,xiELO planted the bomb,4v2,99.1/0.9,,xiELO +0.00%;Jame +0.47%;slaxejezzz +0.32%;FL1T +2.94%;Moseyuh -1.17%;Jee -0.56%;Mercury -1.99%
24,7,Jame killed Zero,4v1,99.9/0.1,,Jame +0.54%;zweih +0.21%;Zero -0.76%
24,8,xiELO killed JamYoung,4v0,100.0/0.0,,xiELO +0.11%;slaxejezzz +0.01%;JamYoung -0.11%
